Ages;LearnAbilities;InvInChilds;Energies;NumsChildren;HungryThresholds;AgeExpectations;EnergyExpectations;InvInChildExpectations;LearnAbilityExpectations
5;0;0;0;89;0;97;0;0;97
92;4;3;0;7;2;97;0;97;97
0;2;1;0;1;0;97;97;97;97
0;5;3;0;0;2;97;97;97;97
0;4;2;1;0;2;97;97;97;97
0;1;3;0;0;1;97;97;97;97
0;1;0;0;0;1;97;97;97;97
0;1;3;0;0;2;97;97;97;97
0;0;0;0;0;4;97;97;97;97
0;0;1;0;0;2;97;97;97;97
0;1;3;1;0;1;97;97;97;97
0;0;0;1;0;1;97;97;97;97
0;1;2;0;0;1;97;97;97;97
0;2;2;1;0;5;97;97;97;97
0;1;2;0;0;1;97;97;97;97
0;2;3;0;0;1;97;97;97;97
0;1;0;1;0;1;97;97;97;97
0;2;3;1;0;3;97;97;97;97
0;2;8;2;0;1;97;97;97;97
0;4;2;3;0;4;97;97;97;97
0;2;5;0;0;0;97;97;97;97
0;4;1;2;0;3;97;97;97;97
0;0;4;3;0;2;97;97;97;97
0;4;0;1;0;1;97;97;97;97
0;1;2;4;0;3;97;97;97;97
0;2;4;1;0;0;97;97;97;97
0;1;1;1;0;0;97;97;97;97
0;1;4;2;0;3;97;97;97;97
0;3;1;2;0;3;97;97;97;97
0;1;1;3;0;1;97;97;97;97
0;1;3;0;0;0;97;97;97;97
0;0;3;4;0;1;97;97;97;97
0;2;1;1;0;4;97;97;97;97
0;2;1;5;0;1;97;97;97;97
0;1;0;5;0;2;97;97;97;97
0;5;1;6;0;4;97;97;97;97
0;3;2;3;0;2;97;97;97;97
0;1;2;4;0;0;97;97;97;97
0;2;3;4;0;3;97;97;97;97
0;1;2;4;0;3;97;97;97;97
0;3;1;3;0;2;97;97;97;97
0;4;1;4;0;3;97;97;97;97
0;2;2;3;0;4;97;97;97;97
0;3;1;2;0;2;97;97;97;97
0;6;1;7;0;2;97;97;97;97
0;1;4;4;0;1;97;97;97;97
0;3;1;4;0;1;97;97;97;97
0;1;2;0;0;2;97;97;97;97
0;0;0;2;0;3;97;97;97;97
0;3;0;1;0;4;97;97;97;97
0;0;2;1;0;2;97;97;97;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
0;0;0;0;0;0;97;0;0;0
